postal_code,placename,longitude,latitude,Diesel,Electric,Gas,Total
66140,Övermalax,21.631969434124564,62.91898624384585,0.0,0.0,0.0,0.0
44150,Äänekoski,25.70877441062746,62.60567075761987,5.0,6.0,0.0,11.0
63700,Ähtäri,24.07181706737183,62.54990338336391,8.0,0.0,0.0,8.0
84100,Ylivieska,24.55395961235218,64.08845851453624,14.0,9.0,2.0,25.0
84100,Ylivieska,24.55548262995899,64.06562986205988,14.0,9.0,2.0,25.0
95600,Ylitornio,23.67388819005098,66.32224197074653,0.0,0.0,0.0,0.0
61400,Ylistaro,22.509662390025102,62.93722742362254,0.0,0.0,0.0,0.0
17200,Vääksy,25.57587827314615,61.16798124045797,7.0,0.0,0.0,7.0
34800,Virrat,23.775973238920116,62.23885774561452,0.0,0.0,0.0,0.0
49900,Virolahti,27.707305904086258,60.58372545016866,5.0,0.0,0.0,5.0
62800,Vimpeli,23.829540633612677,63.15968450784863,0.0,0.0,0.0,0.0
44500,Viitasaari,25.85495241538709,63.07040451907298,10.0,0.0,0.0,10.0
86400,Vihanti,24.991093997154397,64.48679801902753,0.0,0.0,0.0,0.0
78200,Varkaus,27.87269346101451,62.31332957177077,14.0,8.0,0.0,22.0
97625,Vanttauskoski,26.682678,66.38086154,0.0,0.0,0.0,0.0
1300,Vantaa,25.046462675068998,60.28265278661569,5.0,48.0,0.0,53.0
1340,Vantaa,25.04160773544579,60.32390497290055,5.0,48.0,0.0,53.0
1450,Vantaa,25.07425295900531,60.348279686064906,5.0,48.0,0.0,53.0
1510,Vantaa,24.94928540944985,60.294118121302695,5.0,48.0,0.0,53.0
1530,Vantaa,24.975199808583962,60.31010383848075,5.0,48.0,0.0,53.0
1530,Vantaa,24.92550884256752,60.30045131424912,5.0,48.0,0.0,53.0
1620,Vantaa,24.851179803456144,60.27746437825468,5.0,48.0,0.0,53.0
1700,Vantaa,24.848267267733025,60.3154048482484,5.0,48.0,0.0,53.0
1740,Vantaa,24.8950003578858,60.30514555631767,5.0,48.0,0.0,53.0
37600,Valkeakoski,24.033878506958633,61.2632825702701,16.0,0.0,0.0,16.0
65100,Vaasa,21.63099865306274,63.10413341120156,8.0,9.0,0.0,17.0
91700,Vaala,26.83926027635284,64.5599978101939,0.0,0.0,0.0,0.0
23500,Uusikaupunki,21.466717277464383,60.801341660998965,19.0,0.0,0.0,19.0
99980,Utsjoki,27.027144798279014,69.90788483899499,0.0,0.0,0.0,0.0
91600,Utajärvi,26.420773473371277,64.75959098174424,0.0,0.0,0.0,0.0
31760,Urjala,23.54817928298498,61.0811142265995,0.0,0.0,0.0,0.0
4300,Tuusula,25.03532414827176,60.38535010651659,0.0,0.0,0.0,0.0
20250,Turku,22.23402370733024,60.45588478521429,37.0,24.0,2.0,63.0
20360,Turku,22.302349771450828,60.50144436979368,37.0,24.0,2.0,63.0
20360,Turku,22.261381312750085,60.494376356659096,37.0,24.0,2.0,63.0
20520,Turku,22.309078225262592,60.447464112707245,37.0,24.0,2.0,63.0
20740,Turku,22.27376502531948,60.414467245688385,37.0,24.0,2.0,63.0
20810,Turku,22.250764759795135,60.43105505167102,37.0,24.0,2.0,63.0
69300,Toholampi,24.251995656230655,63.77245308821353,0.0,0.0,0.0,0.0
82600,Tohmajärvi,30.331438463159014,62.22298039114015,0.0,0.0,0.0,0.0
